tweet,class
user # booksofgodwidom proverbs 126 also laugh calamity ; mock fear cometh ;,0
user lmfao deadass ? ?,0
user tell bitch im nigga,1
cheeks gone cold bitch,1
user # fridayfunday way.are ready guys ?  # crazy # teen,0
"yaaaasss , bitch user important news .",1
even gtta ak sittn bitch house,1
"found soulmate , didnt . # terrible",0
one person decide ruin entire countries day # rip # queer # lgbt # gay #,0
user preordered # usernameregenerated amazon,0
bitch . slut . user user chill,1
user happy # smile day . # dogsarejoy,0
nasty hoe,1
ya boi popsley da 83ar aka real meek mills earth first pussy,1
# jokeoftheday # 1pun tornado black people common ? takes 1 ruin neighborhood .,1
user mutual lil yellow bone,0
user user exactly .,0
user customers like make prices . like bitch dont,1
go watch dis bitch birth devil # kinky user,1
"ok texas bitch keep textin , callin cryin stressin bout another bitch allegedly .",1
fun morning session cutie ) # letthekids # kids # smile # tule # redslippers,0
user bout cowboys shutup pussy,1
please stop hitting user # argvbol,0
bihday super talented actress user # grace,0
user iggy got fat ass bitch look like flounder fish,1
jackie peyton fucking bitch . omg love though . damn thats best shit pulled,1
happy weekend local flower shop # # instagood # # photooftheday # beautiful,0
user user unfounately,0
honestly enough bad bitches universe everyone ( including dykes ),1
user like two year old immature,0
like # animation,0
hold whatever keeps,0
find making schools places user user # educationfest,0
user im nig .,1
user forgot book school,0
user # smilepowerday show us best cheesy grins pearly whites # smile # teeth,0
think # beauty still left around . anne frank # quoteoftheday # # encouragement,0
bitches trash pussy always want unprotected sex,1
fantastic . # iam # positive # affirmation,0
user user looks like boyfriend said looks bit fat . # nomorechipsforyou teen,0
"wow , finally see user # southcitymall .felling .waiting # te3n",0
user dive deep phone straightening hair  girl # life proof need,0
user user user miss pizza passion .,0
user thought 72 assistants . # gladshesgone # nohope,1
danny odonoghue pays tribute murdered voice contestant user user # rip,0
user back atcha bitch,1
user noticing empty prime retail space chicagos trump tower .,0
user ive heard amazing things must come try # strikingsugar # walk,0
user love youuu,0
idk bro user bunch hoes really doesnt compare one faithful girl bruh,1
user superman . man steel emotions bitch . # truestory,1
last day driving 9th grader school . next year madireis,0
user shoutout user bitch guessed remix shit,1
"user ford . ford , fancy name fag mobile",1
user relieve stress # stressrelief # humor # gifts # # etsy,0
"user bitch fucking fuck brandeis . go connor . fuck connor . fuck brandeis . kidding , htown helotes flexes , bitch .",1
brookelle bones longporn hardcore compilation,0
user twitter full vile # altright # homophobic # theistic # trolls man give juice # fightlikeagirl,1
"user im sure , im broke nig",1
reason cheat show bitches kind dick girl getting .,1
user # fathersday . open 10 2 taking walkins usual . see soon,0
feel like bitch calling cops people id rather bitch go jail someone get hit wreck less driver .,1
mom / hoe shes likely hoe . think learned ?,1
"old bitter , salty ass niccas make flesh crawl bones bitches # dontarguejustacceptit",1
rescued baby bird,0
lol jk changed number hos,1
shit trash lol,1
look lads faces mean business # joshuabreazeale time week happening # youready,0
user malibus comeup news mean denna hoe even light skinedddd hahaha,1
"user # terrible tragedy # painfully young , die isjust rip .",0
yo bitch choosinh letr,1
# mexican flags user protests norm . even # terrorism waving american flags .,0
